Area_sqft,bathrooms,balconies,current_floor,total_floors,furnishing_status,Mapped_Area,facing,property_age_bucket,is_ready_to_move,is_built_up_area,is_carpet_area,is_super_built_up_area,Bedrooms,price
1130.0,2.0,2.0,2.0,3.0,0.0,33.0,8.0,1.0,1,False,True,False,2.0,55.0
2690.0,3.0,1.0,13.0,14.0,3.0,11.0,8.0,3.0,0,False,False,True,3.0,100.0
1068.0,3.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,False,True,False,3.0,102.0
1511.0,2.0,1.0,8.5,25.0,0.0,5.0,8.0,4.0,0,False,False,True,2.0,151.0
1085.0,2.0,1.0,3.0,7.0,0.0,13.0,8.0,4.0,1,False,True,False,2.0,32.5
1743.7518,3.0,2.0,7.0,8.0,2.0,33.0,8.0,0.0,1,False,True,False,3.0,60.0
1530.0,2.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,False,False,True,2.0,95.0
780.0,2.0,3.0,3.0,5.0,2.0,33.0,8.0,0.0,1,False,True,False,1.0,35.5
2205.0,3.0,2.0,9.0,13.0,0.0,16.0,8.0,3.0,1,False,False,True,3.0,300.0
1395.0,2.0,1.0,2.0,3.0,1.0,33.0,8.0,2.0,1,False,True,False,2.0,51.0
1091.0,3.0,1.0,9.0,13.0,3.0,11.0,8.0,3.0,1,False,True,False,3.0,99.0
405.0,1.0,1.0,20.0,31.0,3.0,5.0,8.0,3.0,0,False,True,False,1.0,90.0
6633.0,3.0,3.0,4.0,8.0,0.0,9.0,8.0,4.0,1,False,True,False,5.0,300.0
1140.0,2.0,3.0,10.0,16.0,3.0,18.0,0.0,1.0,1,True,False,False,2.0,59.0
1620.0,2.0,3.0,4.0,8.0,3.0,19.0,4.0,3.0,1,False,True,False,3.0,78.0
600.0,2.0,1.0,5.0,8.0,3.0,13.0,8.0,3.0,1,False,True,False,2.0,47.0
1307.0,2.0,3.0,14.0,31.0,0.0,5.0,8.0,3.0,0,False,False,True,2.0,163.0
980.0,3.0,4.0,7.0,7.0,2.0,2.0,8.0,3.0,1,False,False,False,3.0,75.0
1125.0,2.0,1.0,2.0,4.0,3.0,19.0,0.0,1.0,1,False,True,False,2.0,45.0
1773.0,3.0,1.0,5.0,8.0,1.0,11.0,8.0,1.0,1,False,False,True,3.0,82.0
1395.0,2.0,1.0,2.0,6.0,3.0,19.0,8.0,2.0,1,False,True,False,2.0,63.0
1845.0,3.0,1.0,5.0,8.0,0.0,14.0,8.0,4.0,1,False,False,True,3.0,95.0
1386.0,2.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,False,True,False,2.0,75.0
724.0,2.0,1.0,11.0,24.0,0.0,5.0,8.0,0.0,1,False,True,False,2.0,125.0
1656.0,3.0,1.0,4.0,5.0,3.0,19.0,8.0,1.0,1,False,False,True,3.0,80.0
1305.0,2.0,1.0,3.0,7.0,1.0,33.0,8.0,4.0,1,True,False,False,2.0,50.0
880.0,2.0,1.0,25.0,34.0,0.0,5.0,8.0,3.0,0,False,True,False,2.0,175.0
780.0,2.0,2.0,2.0,6.0,0.0,2.0,8.0,4.0,1,False,True,False,2.0,37.0
786.0,3.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,False,True,False,3.0,72.0
697.0,2.0,3.0,3.0,4.0,0.0,19.0,8.0,1.0,1,True,False,False,2.0,45.0
861.0,3.0,1.0,4.0,8.0,0.0,19.0,8.0,4.0,1,True,False,False,3.0,72.0
