Price,Area,Bathrooms,Balconies,Current_Floor,Total_Floors,Furnishing_Status,Mapped_Area,Facing,Property_Age,Bedrooms,Area_Type,Property_Status
77.0,1845.0,3.0,2.0,2.0,5.0,furnished,Gift City,Unknown,New,3.0,Built-up,Ready_to_Move
118.0,1275.0,3.0,1.0,5.0,8.0,Unknown,Randesan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
46.0,981.0,2.0,1.0,7.0,7.0,unfurnished,Sargasan,East,New,2.0,Super Built-up,Ready_to_Move
121.0,2550.0,3.0,1.0,4.0,8.0,unfurnished,Sargasan,Unknown,New,3.0,Carpet,Ready_to_Move
65.0,1377.0,2.0,1.0,5.0,8.0,Unknown,Randesan,North,New,2.0,Super Built-up,Ready_to_Move
100.0,2100.0,3.0,1.0,4.0,8.0,semi-furnished,Sargasan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
148.0,3420.0,4.0,2.0,5.0,8.0,Unknown,Randesan,Unknown,New,4.0,Super Built-up,Ready_to_Move
91.0,2124.0,3.0,3.0,5.0,13.0,unfurnished,Sargasan,North-East,New,3.0,Built-up,Ready_to_Move
55.0,1296.0,2.0,1.0,4.5,7.0,semi-furnished,Karai,Unknown,New,2.0,Carpet,Ready_to_Move
125.0,2000.0,3.0,1.0,4.0,8.0,Unknown,Sargasan,Other,New,3.0,Super Built-up,Ready_to_Move
65.0,1404.0,2.0,1.0,4.0,8.0,Unknown,Sargasan,North-East,New,2.0,Carpet,Ready_to_Move
85.0,2160.0,3.0,1.0,4.0,8.0,furnished,Sargasan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
105.0,2655.0,3.0,1.0,5.0,8.0,Unknown,Randesan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
26.0,861.112,2.0,2.0,1.0,5.5,unfurnished,Adalaj,North,New,1.0,Carpet,Ready_to_Move
130.0,2025.0,3.0,1.0,4.0,8.0,Unknown,Kudasan,Other,New,3.0,Carpet,Ready_to_Move
93.0,945.0,3.0,1.0,6.0,13.0,Unknown,Randesan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
24.0,1305.0,2.0,1.0,2.0,5.0,unfurnished,Kalol,Unknown,5-10 years,2.0,Built-up,Under_Construction
55.0,1130.0,2.0,2.0,2.0,3.0,Unknown,Vavol,Unknown,10-20 years,2.0,Carpet,Ready_to_Move
100.0,2690.0,3.0,1.0,13.0,14.0,unfurnished,Kudasan,Unknown,New,3.0,Super Built-up,Under_Construction
102.0,1068.0,3.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,3.0,Carpet,Ready_to_Move
151.0,1511.0,2.0,1.0,8.5,25.0,Unknown,Gift City,Unknown,Unknown,2.0,Super Built-up,Under_Construction
32.5,1085.0,2.0,1.0,3.0,7.0,Unknown,Pethapur,Unknown,Unknown,2.0,Carpet,Ready_to_Move
60.0,1743.7518,3.0,2.0,7.0,8.0,semi-furnished,Vavol,Unknown,1-5 years,3.0,Carpet,Ready_to_Move
95.0,1530.0,2.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,2.0,Super Built-up,Ready_to_Move
35.5,780.0,2.0,3.0,3.0,5.0,semi-furnished,Vavol,Unknown,1-5 years,1.0,Carpet,Ready_to_Move
300.0,2205.0,3.0,2.0,9.0,13.0,Unknown,Raysan,Unknown,New,3.0,Super Built-up,Ready_to_Move
51.0,1395.0,2.0,1.0,2.0,3.0,furnished,Vavol,Unknown,5-10 years,2.0,Carpet,Ready_to_Move
99.0,1091.0,3.0,1.0,9.0,13.0,unfurnished,Kudasan,Unknown,New,3.0,Carpet,Ready_to_Move
90.0,405.0,1.0,1.0,20.0,31.0,unfurnished,Gift City,Unknown,New,1.0,Carpet,Under_Construction
300.0,6633.0,3.0,3.0,4.0,8.0,Unknown,Koba,Unknown,Unknown,5.0,Carpet,Ready_to_Move
59.0,1140.0,2.0,3.0,10.0,16.0,unfurnished,SP Ring Road,East,10-20 years,2.0,Built-up,Ready_to_Move
78.0,1620.0,2.0,3.0,4.0,8.0,unfurnished,Sargasan,Other,New,3.0,Carpet,Ready_to_Move
47.0,600.0,2.0,1.0,5.0,8.0,unfurnished,Pethapur,Unknown,New,2.0,Carpet,Ready_to_Move
163.0,1307.0,2.0,3.0,14.0,31.0,Unknown,Gift City,Unknown,New,2.0,Super Built-up,Under_Construction
75.0,980.0,3.0,4.0,7.0,7.0,semi-furnished,Chiloda,Unknown,New,3.0,Carpet,Ready_to_Move
45.0,1125.0,2.0,1.0,2.0,4.0,unfurnished,Sargasan,East,10-20 years,2.0,Carpet,Ready_to_Move
82.0,1773.0,3.0,1.0,5.0,8.0,furnished,Kudasan,Unknown,10-20 years,3.0,Super Built-up,Ready_to_Move
63.0,1395.0,2.0,1.0,2.0,6.0,unfurnished,Sargasan,Unknown,5-10 years,2.0,Carpet,Ready_to_Move
95.0,1845.0,3.0,1.0,5.0,8.0,Unknown,Randesan,Unknown,Unknown,3.0,Super Built-up,Ready_to_Move
75.0,1386.0,2.0,1.0,4.0,8.0,Unknown,Sargasan,Unknown,Unknown,2.0,Carpet,Ready_to_Move
